https://www.fittotravel.net/index.php/international-data/257-coordinates-of-world-capitals

CAPITAL	COUNTRY	LATITUDE	LONGITUDE
Kabul	Afghanistan	34.28N	69.11E
Tirana	Albania	41.18N	19.49E
Algiers	Algeria	36.42N	03.08E
Pago Pago	American Samoa	14.16S	170.43W
Andorra la Vella	Andorra	42.31N	01.32E
Luanda	Angola	08.50S	13.15E
Saint John's	Antigua and Barbuda	17.127N	61.846W
Buenos Aires	Argentina	36.30S	60.00W
Yerevan	Armenia	40.10N	44.31E
Oranjestad	Aruba	12.32N	70.02W
Canberra	Australia	35.15S	149.08E
Vienna	Austria	48.12N	16.22E
Baku	Azerbaijan	40.29N	49.56E
Nassau	Bahamas	25.05N	77.20W
Manama	Bahrain	26.10N	50.30E
Dhaka	Bangladesh	23.43N	90.26E
Bridgetown	Barbados	13.05N	59.30W
Minsk	Belarus	53.52N	27.30E
Brussels	Belgium	50.51N	04.21E
Belmopan	Belize	17.18N	88.30W
Porto Novo	Benin	06.23N	02.42E
Thimphu	Bhutan	27.31N	89.45E
La Paz (administrative) / Sucre (legislative)	Bolivia	16.20S	68.10W
Sarajevo	Bosnia and Herzegovina	43.52N	18.26E
Gaborone	Botswana	24.45S	25.57E
Brasilia	Brazil	15.47S	47.55W
Road Town	British Virgin Islands	18.27N	64.37W
Bandar Seri Begawan	Brunei Darussalam	04.52N	115.00E
Sofia	Bulgaria	42.45N	23.20E
Ouagadougou	Burkina Faso	12.15N	01.30W
Bujumbura	Burundi	03.16S	29.18E
Phnom Penh	Cambodia	11.33N	104.55E
Yaounde	Cameroon	03.50N	11.35E
Ottawa	Canada	45.27N	75.42W
Praia	Cape Verde	15.02N	23.34W
George Town	Cayman Islands	19.20N	81.24W
Bangui	Central African Republic	04.23N	18.35E
N'Djamena	Chad	12.10N	14.59E
Santiago	Chile	33.24S	70.40W
Beijing	China	39.55N	116.20E
Bogota	Colombia	04.34N	74.00W
Moroni	Comros	11.40S	43.16E
Brazzaville	Congo	04.09S	15.12E
San Jose	Costa Rica	09.55N	84.02W
